,Name,N2 Henrys,N2 Henrys err,methane Henrys,methane Henrys err,helium Henrys,helium Henrys err,N2 adsorb,N2 adsorb err,methane adsorb,methane adsorb err,helium adsorb,helium adsorb err
2053,qowrav10_P1_H,4.93714e-06,5.31437e-08,2.33227e-05,3.90221e-07,3.67373e-07,9.82014e-10,-11.7141991653,,-16.9725907493,0.0799098702,-1.4066313116,0.0061357571
2054,qimfaw_P1_charged,4.88622e-06,1.22825e-08,1.72297e-05,1.62019e-07,5.14079e-07,6.05155e-10,-9.5610159387,,-13.7882084078,0.0371474143,-1.3010084457,0.0067301019
2055,qeggue_P1_charged,8.29249e-06,1.00072e-07,6.19552e-05,2.65373e-06,2.90688e-07,1.58235e-09,-15.552091283,,-22.814960783,0.1494095875,-1.747427563,0.005335571
2056,qujkud_P1_charged,4.49969e-06,2.72778e-08,3.65607e-05,5.7525e-07,9.38698e-08,5.74664e-10,-15.7310903335,,-21.5790545476,0.0380117201,-2.3593630385,0.0047482989
2057,qowrav06_P1_H,4.87645e-06,5.32727e-08,2.2929e-05,2.1843e-07,3.68463e-07,1.77089e-09,-11.6484947032,,-16.8853134732,0.0289114143,-1.400920617,0.0042886641
2058,qoxron_P1_H,1.01499e-05,7.83944e-08,8.1802e-05,1.14659e-06,3.13863e-07,6.14048e-10,-14.9024877368,,-22.1575111224,0.112079455,-1.9816656267,0.0072126321
2059,qazfeg_P1_charged,3.20539e-06,6.51718e-09,1.02562e-05,1.01842e-07,3.31947e-07,4.58339e-10,-9.3458914163,,-12.695130162,0.0227479856,-1.4601879693,0.0062068225
2060,qovwab_P1,1.14728e-05,1.383e-07,0.000122993,1.56093e-06,9.16447e-08,5.39602e-10,-19.3102900376,,-25.6003751202,0.0271962536,-3.1838430742,0.0107590254
2061,qotkoc_P1_charged_H,4.41281e-06,1.79445e-08,1.12478e-05,4.37787e-08,9.72601e-07,1.36529e-09,-7.1399638054,,-10.850029257,0.0603921466,-0.7428604403,0.0034054792
2062,qiwbik_P1,3.31949e-06,5.36749e-08,3.60119e-05,1.42455e-06,3.80945e-08,1.81494e-10,-20.6995100125,,-26.9565561819,0.0816199826,-3.2604597821,0.0103314294
2063,qomfaa_P1,9.77172e-06,7.09221e-08,7.54933e-05,7.04349e-07,1.98961e-07,5.60089e-10,-15.574641489,,-21.1060052233,0.0295946609,-2.4513457213,0.0091945712
2064,qedjiw_P1,1.97796e-06,8.99395e-09,6.64121e-06,3.25058e-08,1.78276e-07,9.28411e-10,-9.4611357864,,-12.9478499804,0.0089562405,-1.4887772831,0.0042553492
2065,qotlod01_P1_charged_H,4.4494e-06,1.80081e-08,1.10428e-05,6.90906e-08,9.78987e-07,3.50216e-10,-6.9205176872,,-10.2368916808,0.0364150114,-0.7576798903,0.0052291327
2066,quczev_P1,5.66488e-06,3.78886e-08,2.71781e-05,1.83279e-07,2.85742e-07,1.52315e-09,-11.8301217712,,-16.2778785447,0.0247702817,-1.8595135465,0.0057915549
2067,qotlod02_P1_charged_H,4.44876e-06,3.3861e-08,1.09441e-05,4.76303e-08,1.00208e-06,1.83084e-09,-6.8710227505,,-10.175941241,0.0231743817,-0.7434449069,0.0029624983
2068,qecniz_P1_charged,4.73074e-06,2.46828e-08,2.04499e-05,8.11203e-08,2.80677e-07,5.70989e-10,-11.241817628,,-15.295317216,0.0301765497,-1.7900982701,0.0111286817
2069,qudcuq_P1,3.80437e-06,3.03652e-08,1.43779e-05,1.89779e-07,3.12411e-07,4.81595e-10,-10.053620364,,-14.0399655133,0.0452114317,-1.4881242621,0.0046839226
2070,qotlod_P1_charged_H,4.4484e-06,3.11229e-08,1.11014e-05,1.34471e-07,9.76314e-07,5.04438e-10,-6.9381260651,,-10.271034621,0.0587700925,-0.7601647375,0.0049758596
2071,qotkoc04_P1_charged_H,4.45019e-06,2.06252e-08,1.09306e-05,7.82231e-08,1.04113e-06,1.68612e-09,-6.9201291116,,-10.4254225784,0.0494286395,-0.7038978186,0.0042162973
2072,qewdon_P1,1.61828e-05,3.88165e-07,0.000270418,1.08825e-05,5.77461e-08,3.01818e-10,-22.2361190596,,-29.9581285125,0.1924605875,-3.5767169596,0.0124376058
2073,qowrav03_P1_H,4.855e-06,3.54304e-08,2.26335e-05,4.75367e-07,3.68804e-07,9.4915e-10,-11.6303078903,,-16.8493620528,0.0871747063,-1.3968108017,0.0061024222
2074,qoxqig_P1,4.95636e-06,2.45692e-08,1.75324e-05,1.91315e-07,5.03903e-07,1.48356e-09,-9.7403589638,,-13.8779380003,0.0669414917,-1.3958149409,0.0095975551
2075,qotlod04_P1_charged_H,4.38908e-06,2.38663e-08,1.03475e-05,7.84918e-08,1.0974e-06,1.18397e-09,-6.519570192,,-9.7819415391,0.0401277182,-0.6813300879,0.0068890925
2076,qoxqus_P1,5.73334e-06,3.32064e-08,2.07391e-05,9.24993e-08,5.54681e-07,1.13588e-09,-9.916577952,,-14.224480069,0.0373641669,-1.3494896984,0.0053301622
2077,qovsur_P1,1.03369e-05,2.27893e-07,0.000135925,4.26928e-06,8.46005e-08,5.94362e-10,-20.7428023075,,-27.7723977564,0.03631956,-3.1303818614,0.012618213
2078,tepnag_P1_H,7.2633e-06,2.90466e-08,3.54231e-05,2.49217e-07,3.00684e-07,5.15448e-10,-12.2509051162,,-16.5196311312,0.0177280687,-1.9659424478,0.0088454741
2079,tempei_P1_H,5.13747e-06,3.77552e-08,2.45027e-05,2.84337e-07,3.43755e-07,7.36326e-10,-12.5629399864,,-17.46622915,0.055355045,-1.664371858,0.0075838508
2080,tadwec_P1,4.64757e-06,7.83244e-08,2.75115e-05,4.33384e-07,2.6418e-07,1.09345e-09,-13.8065568089,,-20.1012342016,0.0796415289,-1.4356070134,0.0088712711
2081,tewmug_P1_H,1.96332e-06,1.18299e-08,6.83997e-06,6.02535e-08,2.00208e-07,7.4734e-10,-9.673850545,,-13.4334142918,0.0360400066,-1.4163830428,0.0048613422
2082,suqsuv_P1,4.57883e-06,1.51308e-08,4.00308e-05,3.97346e-07,5.66379e-08,2.12765e-10,-16.2185474639,,-21.8563977786,0.0100037052,-2.6312970437,0.0040230538
2083,tecdue_P1,4.06446e-06,1.51049e-08,1.83414e-05,2.3495e-07,3.05989e-07,5.33094e-10,-11.2384838772,,-16.361830553,0.0503140232,-1.5616630104,0.0023049403
2084,taftus_P1,1.63644e-06,7.8839e-09,5.64317e-06,2.06916e-08,1.60067e-07,1.12892e-10,-9.262051247,,-12.8382865989,0.0149829246,-1.4327898928,0.0076174632
2085,tedluk_P1,9.24626e-06,1.71256e-07,0.000112808,5.80783e-06,9.14171e-08,6.90674e-10,-19.5132245352,,-27.1899063196,0.2808044092,-2.9474599579,0.0084619957
2086,tihrua_P1_charged_H,2.9709e-06,2.55753e-08,1.76202e-05,1.13559e-07,1.06236e-07,4.09185e-10,-13.7529130017,,-18.6952797865,0.046724395,-2.1342392116,0.01430674
2087,temcum_P1,2.89569e-06,2.82951e-08,1.20443e-05,4.72636e-08,2.35625e-07,5.52302e-10,-10.798578922,,-14.9315857583,0.0141589957,-1.4818304031,0.0057057102
2088,taszeu_P1_charged_H,5.95339e-06,6.00687e-08,2.44319e-05,4.07629e-07,5.40142e-07,2.13402e-09,-12.2207567357,,-17.3107759892,0.0575711039,-1.2274213425,0.006593461
2089,supkog_P1_H,1.46152e-06,7.38717e-09,6.55272e-06,4.63446e-08,9.86235e-08,5.67312e-10,-10.5040017776,,-14.5069781588,0.0195585085,-1.6368101399,0.009104721
2090,tevcab_P1,1.45861e-06,5.24775e-09,5.26756e-06,4.26434e-08,1.08464e-07,2.16993e-10,-9.5941721968,,-12.9118528796,0.0099534403,-1.6039825416,0.0024820307
2091,tecwux_P1,5.6349e-06,2.92907e-08,3.37526e-05,4.02123e-07,2.01855e-07,8.83965e-10,-12.9227131877,,-17.8721492828,0.046501915,-2.0243457272,0.0060921825
2092,tedgoa_P1_H,3.42821e-06,1.15198e-08,9.31641e-06,3.23031e-08,4.58701e-07,1.34737e-09,-7.6242114332,,-10.3392552158,0.0127159431,-1.2422983569,0.0072113166
2093,teghas_P1_H,4.66516e-06,5.24863e-08,2.46828e-05,3.48278e-07,2.09303e-07,7.45151e-10,-12.9244774117,,-18.0798258217,0.0866135341,-1.9324741564,0.0109632622
